t,dp1,dp2,dp3,tau1,tau2,tau3
0.52,0.582202964669448,-0.481518433895905,2.01577103230368,1.9791643893133,4.16488234040948,-1.53708224983973
0.53,0.574202148197214,-0.483927931169776,2.00229487734105,2.41605829465486,4.15827931122853,-1.48066774636976
0.54,0.56620133172498,-0.486337428443646,1.98881872237842,2.8511694986021,4.14877469301949,-1.42580548008667
0.55,0.558200515252745,-0.488746925717517,1.97534256741578,3.28445379150684,4.13635131381295,-1.37252039906645
0.56,0.550199698780511,-0.491156422991387,1.96186641245315,3.71586764937767,4.12099321711745,-1.32083644088258
0.57,0.542198882308277,-0.493565920265258,1.94839025749052,4.14536824233371,4.10268567246723,-1.27077651848727
0.58,0.534198065836043,-0.495975417539128,1.93491410252789,4.57291344281923,4.08141518530443,-1.22236250670519
0.59,0.526197249363808,-0.498384914812998,1.92143794756526,4.99846183357183,4.05716950621994,-1.17561522932886
0.6,0.518196432891574,-0.500794412086869,1.90796179260263,5.4219727153254,4.02993763945,-1.13055444687943
0.61,0.51019561641934,-0.503203909360739,1.89448563764,5.8434061142926,3.99970985071,-1.08719884499021
0.62,0.502194799947106,-0.505613406634609,1.88100948267737,6.26272278938726,3.96647767435559,-1.04556602342339
0.63,0.494193983474872,-0.50802290390848,1.86753332771474,6.67988423920286,3.93023391978981,-1.00567248577419
0.64,0.486193167002638,-0.51043240118235,1.85405717275211,7.09485270875771,3.89097267720087,-0.967533629805902
0.65,0.478192350530404,-0.51284189845622,1.84058101778948,7.50759119598937,3.84868932259013,-0.931163738448941
0.66,0.470191534058169,-0.51525139573009,1.82710486282685,7.91806345801753,3.8033805220478,-0.896575971498526
0.67,0.462190717585935,-0.517660893003961,1.81362870786422,8.32623401715163,3.75504423532912,-0.863782357973165
0.68,0.4541899011137,-0.520070390277831,1.80015255290158,8.73206816666617,3.70367971870115,-0.832793789159022
0.69,0.446189084641466,-0.522479887551701,1.78667639793895,9.13553197635384,3.64928752704532,-0.803620012347277
0.7,0.438188268169232,-0.524889384825572,1.77320024297632,9.53659229781925,3.59186951525769,-0.776269625252581
0.71,0.430187451696998,-0.527298882099442,1.75972408801369,9.93521676953766,3.53142883888518,-0.750750071142489
0.72,0.422186635224764,-0.529708379373312,1.74624793305106,10.3313738216953,3.46796995401453,-0.727067634659046
0.73,0.414185818752529,-0.532117876647183,1.73277177808843,10.7250326807768,3.4014986164679,-0.705227438336599
0.74,0.406185002280295,-0.534527373921053,1.7192956231258,11.1161633739176,3.33202188022107,-0.685233439840752
0.75,0.398184185808061,-0.536936871194924,1.70581946816317,11.5047367330336,3.25954809508706,-0.667088429893189
0.76,0.390183369335827,-0.539346368468794,1.69234331320054,11.8907243987042,3.18408690367458,-0.650794030912069
0.77,0.382182552863593,-0.541755865742665,1.67886715823791,12.2740988238309,3.10564923758009,-0.636350696378811
0.78,0.374181736391359,-0.544165363016535,1.66539100327528,12.6548332770554,3.02424731286056,-0.623757710891377
0.79,0.366180919919125,-0.546574860290405,1.65191484831265,13.0329018459457,2.93989462477451,-0.613013190936756
0.8,0.35818010344689,-0.548984357564276,1.63843869335002,13.4082794399519,2.85260594174866,-0.604114086386028
0.81,0.350179286974656,-0.551393854838146,1.62496253838738,13.7809417931143,2.76239729863894,-0.597056182677807
0.82,0.342178470502422,-0.553803352112016,1.61148638342475,14.1508654665598,2.66928598928658,-0.591834103709646
0.83,0.334177654030188,-0.556212849385886,1.59801022846212,14.5180278507539,2.57329055829987,-0.588441315449069
0.84,0.326176837557953,-0.558622346659757,1.58453407349949,14.8824071674985,2.47443079210423,-0.586870130251243
0.85,0.318176021085719,-0.561031843933627,1.57105791853686,15.2439824717216,2.3727277093191,-0.587111711864878
0.86,0.310175204613485,-0.563441341207497,1.55758176357423,15.6027336530259,2.26820355040101,-0.589156081138161
0.87,0.30217438814125,-0.565850838481368,1.5441056086116,15.9586414369904,2.16088176654325,-0.592992122429488
0.88,0.294173571669016,-0.568260335755238,1.53062945364896,16.3116873862467,2.05078700792305,-0.59860759069692
0.89,0.286172755196782,-0.570669833029108,1.51715329868633,16.6618539013077,1.93794511121692,-0.6059891192819
0.9,0.278171938724548,-0.573079330302979,1.5036771437237,17.0091242211568,1.8223830864039,-0.615122228383912
0.91,0.270171122252314,-0.575488827576849,1.49020098876107,17.353482423606,1.70412910294176,-0.625991334187569
0.92,0.26217030578008,-0.57789832485072,1.47672483379844,17.6949134254075,1.58321247523656,-0.638579758663901
0.93,0.254169489307845,-0.58030782212459,1.46324867883581,18.0334029821197,1.45966364739829,-0.65286974006983
0.94,0.246168672835611,-0.582717319398461,1.44977252387318,18.3689376877417,1.33351417740758,-0.668842444061126
0.95,0.238167856363377,-0.585126816672331,1.43629636891055,18.7015049740916,1.20479672059289,-0.686477975477605
0.96,0.230167039891143,-0.587536313946201,1.42282021394792,19.0310931099299,1.07354501243538,-0.705755390798096
0.97,0.222166223418909,-0.589945811220072,1.40934405898529,19.3576911998566,0.939793850800851,-0.726652711171302
0.98,0.214165406946675,-0.592355308493942,1.39586790402266,19.6812891829545,0.803579077504329,-0.749146936109769
0.99,0.20616459047444,-0.594764805767812,1.38239174906003,20.0018778311628,0.664937559265242,-0.773214057810845
1,0.198163774002206,-0.597174303041683,1.3689155940974,23.318222449473,3.86129595942434,0.821605832308836
1.01,0.190162957529972,-0.599583800315553,1.35543943913476,26.5713804110408,7.06655234873827,2.41785533796069
1.02,0.182162141057737,-0.601993297589423,1.34196328417213,26.8224730252463,6.93128333657614,2.39231654875937
1.03,0.174161324585503,-0.604402794863293,1.3284871292095,27.0703042416779,6.79291295059337,2.36544695163988
1.04,0.166160508113269,-0.606812292137164,1.31501097424687,27.3149051564874,6.65147763334254,2.33727000086947
1.05,0.158159691641035,-0.609221789411034,1.30153481928424,27.5563076865385,6.50701501649511,2.30781001326219
1.06,0.150158875168801,-0.611631286684904,1.28805866432162,27.7945445412665,6.35956390322005,2.27709215453479
1.07,0.142158058696566,-0.614040783958775,1.27458250935898,28.0296491943595,6.20916424987561,2.24514242511076
1.08,0.134157242224332,-0.616450281232645,1.26110635439635,28.2616558552598,6.05585714708432,2.21198764536429
1.09,0.126156425752098,-0.618859778506516,1.24763019943372,28.4905994404941,5.89968480032463,2.17765544040031
1.1,0.118155609279864,-0.621269275780386,1.23415404447109,28.7165155448709,5.74069050987766,2.14217422430112
1.11,0.11015479280763,-0.623678773054257,1.22067788950846,28.9394404125607,5.57891865018295,2.10557318385099
1.12,0.102153976335395,-0.626088270328127,1.20720173454583,29.1594109080573,5.41441464869629,2.06788226178414
1.13,0.0941531598631613,-0.628497767601997,1.19372557958319,29.3764644870715,5.24722496416489,2.02913213954613
1.14,0.086152343390927,-0.630907264875868,1.18024942462056,29.5906391673582,5.07739706435502,1.98935421957827
1.15,0.0781515269186928,-0.633316762149738,1.16677326965793,29.8019734994692,4.90497940328787,1.94858060713456
1.16,0.0701507104464586,-0.635726259423608,1.1532971146953,30.0105065374992,4.73002139793813,1.90684409164318
1.17,0.0621498939742244,-0.638135756697479,1.13982095973267,30.2162778098142,4.55257340444659,1.8641781276317
1.18,0.0541490775019901,-0.640545253971349,1.12634480477004,30.4193272897718,4.37268669382593,1.82061681520378
1.19,0.046148261029756,-0.642954751245219,1.11286864980741,30.6196953664687,4.1904134271967,1.77619488009807
1.2,0.0381474445575218,-0.645364248519089,1.09939249484478,30.8174228155241,4.0058066305773,1.73094765335637
1.21,0.0301466280852876,-0.64777374579296,1.08591633988215,31.012550769914,3.81892016920664,1.68491105056497
1.22,0.0221458116130535,-0.65018324306683,1.07244018491952,31.2051206908754,3.62980872142335,1.63812155071527
1.23,0.0141449951408193,-0.6525927403407,1.05896402995689,31.395174338896,3.43852775213423,1.59061617470051
1.24,0.00614417866858505,-0.655002237614571,1.04548787499426,31.5827537448031,3.24513348586144,1.54243246342814
1.25,-0.00185663780364917,-0.657411734888442,1.03201172003163,31.7679011809688,3.04968287939683,1.49360845560097
1.26,-0.00985745427588338,-0.659821232162312,1.01853556506899,31.950659132646,2.85223359409983,1.44418266516507
1.27,-0.0178582707481176,-0.662230729436183,1.00505941010636,32.13107026945,2.6528439678043,1.39419405842185
1.28,-0.0258590872203519,-0.664640226710053,0.991583255143732,32.3091774169987,2.45157298638285,1.34368203083556
1.29,-0.0338599036925861,-0.667049723983923,0.978107100181101,32.4850235287257,2.24848025499808,1.2926863835465
1.3,-0.0418607201648204,-0.669459221257793,0.96463094521847,32.6586516578866,2.04362596898333,1.24124729959578
1.31,-0.0498615366370547,-0.671868718531664,0.951154790255839,32.8301049297624,1.83707088444569,1.18940531988454
1.32,-0.0578623531092889,-0.674278215805534,0.937678635293208,32.9994265140759,1.62887628861714,1.13720131889064
1.33,-0.0658631695815232,-0.676687713079404,0.924202480330577,33.166659597637,1.41910396989814,1.08467648013953
1.34,-0.0738639860537575,-0.679097210353275,0.910726325367947,33.331847357228,1.207816187647,1.03187227144513
1.35,-0.0818648025259917,-0.681506707627145,0.897250170405316,33.4950329327389,0.995075641743099,0.97883041995214
1.36,-0.0898656189982258,-0.683916204901015,0.883774015442685,33.6562594005695,0.780945441923153,0.925592886983578
1.37,-0.09786643547046,-0.686325702174885,0.870297860480054,33.8155697473006,0.56548907691461,0.872201842702028
1.38,-0.105867251942694,-0.688735199448756,0.856821705517424,33.9730068436571,0.348770383406423,0.818699640622317
1.39,-0.113868068414928,-0.691144696722626,0.843345550554793,34.1286134187685,0.130853514809071,0.76512879196884
1.4,-0.121868884887162,-0.693554193996496,0.829869395592162,34.2824320347246,-0.0881970901104689,0.711531939898509
1.41,-0.129869701359396,-0.695963691270367,0.816393240629531,34.4345050614617,-0.308316738722353,0.65795183361795
1.42,-0.137870517831631,-0.698373188544237,0.8029170856669,34.5848746519755,-0.529440516176799,0.604431302392891
1.43,-0.145871334303865,-0.700782685818107,0.78944093070427,34.733582717861,-0.751503317083968,0.551013229484849
1.44,-0.153872150776099,-0.703192183091978,0.775964775741638,34.8806709052068,-0.974439877333899,0.497740526010507
1.45,-0.161872967248333,-0.705601680365848,0.762488620779007,35.026180570835,-1.19818480597224,0.444656104750804
1.46,-0.169873783720568,-0.708011177639719,0.749012465816376,35.1701527589122,-1.42267261707366,0.391802853936524
1.47,-0.177874600192802,-0.710420674913589,0.735536310853745,35.3126281779279,-1.64783776168355,0.339223611004971
1.48,-0.185875416665036,-0.71283017218746,0.722060155891114,35.4536471780483,-1.87361465975615,0.286961136359074
1.49,-0.193876233137271,-0.71523966946133,0.708584000928484,35.5932497288632,-2.09993773207299,0.235058087143376
1.5,-0.201877049609505,-0.7176491667352,0.695107845965853,35.7314753975171,-2.32674143214397,0.183556991046506
